30
10
5
5
10,
1,Novel,10,The Great Gatsby,F. Scott Fitzgerald,AbC,0,
2,Novel,15,To Kill a Mockingbird,Harper Lee,BcD,0,
3,Novel,12,1984,George Orwell,CdE,0,
4,Novel,10,Pride and Prejudice,Jane Austen,DeF,0,
5,Novel,13,The Catcher in the Rye,J.D. Salinger,EfG,0,
6,Novel,9,The Hobbit,J.R.R. Tolkien,FgH,0,
7,Novel,20,Moby-Dick,Herman Melville,HiJ,0,
8,Novel,14,The Picture of Dorian Gray,Oscar Wilde,IjK,0,
9,Novel,11,War and Peace,Leo Tolstoy,JkL,0,
10,Novel,18,The Lord of the Rings,J.R.R. Tolkien,LmN,0,
11,Academic,25,The Structure of Scientific Revolutions,Thomas S. Kuhn,OpQ,0,
12,Academic,30,Thinking Fast and Slow,Daniel Kahneman,PqR,0,
13,Academic,22,The Gene:An Intimate History,Siddhartha Mukherjee,QrS,0,
14,Academic,28,The Immortal Life of Henrietta Lacks,Rebecca Skloot,RsT,0,
15,Academic,24,A Brief History of Time,Stephen Hawking,StU,0,
16,History,20,The Silk Roads: A New History of the World,Peter Frankopan,TuV,0,
17,History,25,The History of the Ancient World,Susan Wise Bauer,VwX,0,
18,History,22,The Rise and Fall of the Third Reich,William L. Shirer,XyZ,0,
19,History,18,The History of the Medieval World,Susan Wise Bauer,YzA,0,
20,History,20,The Civil War: A Narrative,Shelby Foote,ZaB,0,
21,Science,15,A Brief History of Time,Stephen Hawking,AbC,0,
22,Science,18,The Selfish Gene,Richard Dawkins,BcD,0,
23,Science,12,The Origin of Species,Charles Darwin,CdE,0,
24,Science,20,The Emperor of All Maladies,Siddhartha Mukherjee,DeF,0,
25,Science,10,The Double Helix,James D. Watson,EfG,0,
26,Science,25,Astrophysics for People in a Hurry,Neil deGrasse Tyson,FgH,0,
27,Science,18,The Hidden Life of Trees,Peter Wohlleben,GhI,0,
28,Science,17,The Universe in a Nutshell,Stephen Hawking,HiJ,0,
29,Science,14,The Feynman Lectures on Physics,Richard Feynman,IjK,0,
30,Science,16,The Invention of Nature,Andrea Wulf,JkL,0,
